num	mean	min	q25	q50	q75	max
190	24	6	18	26	33	38
191	37	2	35	39	41	41
192	31	2	29	33	37	40
193	36	2	35	38	40	41
194	36	9	34	37	39	41
195	36	2	35	37	40	41
196	33	5	30	34	38	41
197	35	2	34	35	37	40
198	36	24	34	37	41	41
199	34	2	33	35	38	40
200	36	2	34	39	41	41
201	36	25	34	36	40	41
202	31	2	30	34	37	40
203	36	29	35	37	40	41
204	35	2	34	36	39	41
205	36	23	35	37	39	41
206	35	2	35	35	39	41
207	37	31	34	37	41	41
208	37	27	35	39	41	41
209	38	2	37	40	41	41
210	36	5	35	38	40	41
211	35	2	34	35	39	41
212	38	30	35	39	40	41
213	36	2	34	37	40	41
214	33	2	29	37	40	41
215	38	34	36	40	41	41
216	37	2	35	39	41	41
217	35	13	33	35	40	41
218	35	2	34	35	39	41
219	37	2	35	39	40	41
220	35	26	34	35	38	41
221	37	2	37	39	40	41
222	37	18	36	39	40	41
223	33	2	30	34	38	40
224	34	8	32	35	39	41
225	38	33	36	40	41	41
226	37	2	35	39	41	41
227	38	34	37	39	41	41
228	37	2	36	39	41	41
229	35	2	35	39	41	41
230	36	29	34	35	39	41
231	38	2	37	40	41	41
232	39	33	37	40	41	41
233	34	2	34	36	39	41
234	34	2	32	37	39	40
235	38	2	37	40	41	41
236	37	31	36	38	40	41
237	35	2	34	37	39	41
238	34	2	34	35	37	41
239	34	2	34	36	39	41
240	37	2	35	39	41	41
241	37	29	35	38	40	41
242	33	7	31	34	37	41
243	37	2	36	39	41	41
244	36	2	34	35	40	41
245	31	2	29	34	37	40
246	35	2	35	35	39	41
247	36	20	34	38	40	41
248	35	18	34	37	39	40
249	35	7	33	36	39	41
250	36	2	34	37	40	41
251	36	20	35	35	39	41
252	35	2	35	36	40	41
253	36	25	34	36	39	41
254	38	2	36	40	41	41
255	37	27	35	37	41	41
256	31	2	29	33	35	38
257	35	28	34	36	38	41
258	37	20	35	39	41	41
259	37	2	35	39	41	41
260	37	24	35	39	41	41
261	33	2	30	34	38	41
262	38	2	38	40	41	41
263	33	7	31	34	35	41
264	28	2	26	32	38	41
265	31	2	29	33	36	40
266	36	2	35	39	41	41
267	34	23	32	34	37	40
268	36	2	35	38	40	40
269	32	7	30	34	38	40
270	38	2	37	40	41	41
271	35	18	33	36	40	41
272	37	2	35	38	41	41
273	36	30	35	37	39	41
274	37	31	35	39	41	41
275	34	2	33	35	39	41
276	38	31	36	39	41	41
277	35	2	34	36	40	41
278	34	2	33	35	36	41
279	33	16	30	35	37	40
280	37	29	35	38	41	41
281	28	2	27	30	33	40
282	37	2	36	40	41	41
283	25	2	24	29	34	40
284	35	2	34	36	39	41
285	31	7	30	33	35	39
286	36	2	35	37	40	41
287	38	2	36	39	41	41
288	37	31	35	37	41	41
289	29	2	27	31	36	40
290	37	30	35	39	41	41
291	37	2	36	39	41	41
292	38	32	37	39	41	41
293	38	2	36	40	41	41
294	37	29	35	37	41	41
295	37	2	35	39	41	41
296	37	28	36	38	40	41
297	35	2	35	35	39	41
298	37	26	35	38	40	41
299	39	32	38	40	41	41
300	27	2	12	37	41	41
301	32	2	32	36	38	41
302	36	2	35	38	41	41
303	37	2	35	39	41	41
304	38	32	36	39	41	41
305	38	2	37	40	41	41
306	37	30	35	37	40	41
307	36	2	35	39	41	41
308	38	2	37	40	41	41
309	36	2	35	37	40	41
310	37	29	35	38	40	41
311	35	23	34	36	39	41
312	35	2	34	36	39	40
313	38	2	38	40	41	41
314	34	21	32	35	38	41
315	38	28	36	39	41	41
316	36	2	34	39	40	40
317	37	30	35	38	40	41
318	34	2	33	35	38	41
319	36	2	36	39	41	41
320	35	2	33	36	39	41
321	31	9	29	33	36	40
322	33	7	28	37	40	41
323	34	2	33	38	40	41
324	24	2	2	35	39	41
325	37	2	36	39	41	41
326	31	2	29	33	36	40
327	27	2	25	31	34	40
328	37	28	35	38	39	41
329	37	2	35	39	41	41
330	37	2	35	39	41	41
331	30	7	29	33	37	40
332	33	2	31	35	37	40
333	36	28	35	37	40	41
334	37	2	35	39	41	41
335	28	2	27	31	33	40
336	29	2	2	39	41	41
337	38	2	37	40	41	41
338	37	2	37	39	41	41
339	37	30	35	37	40	41
340	32	2	31	35	38	40
341	28	2	23	30	35	40
342	38	2	37	39	40	41
343	38	34	35	39	41	41
344	36	2	35	37	41	41
345	37	26	36	39	40	41
346	36	2	35	37	41	41
347	34	18	33	35	38	40
348	37	30	35	37	40	41
349	37	2	35	37	41	41
350	37	33	35	38	41	41
351	37	30	35	37	40	41
352	38	31	35	39	41	41
353	36	2	35	37	40	41
354	36	2	34	37	40	41
355	30	2	28	33	35	39
356	34	2	33	35	38	40
357	34	23	33	35	37	40
358	37	2	36	40	40	41
359	31	7	29	32	37	40
360	36	2	34	37	40	41
361	38	2	37	40	41	41
362	29	6	25	32	35	40
363	33	2	31	37	39	40
364	33	18	30	34	37	40
365	35	2	34	37	40	40
366	34	2	34	35	37	40
367	37	28	36	38	40	41
368	38	2	37	40	41	41
369	38	25	36	39	41	41
370	35	2	34	37	39	40
371	38	33	36	40	41	41
372	35	2	33	36	39	41
373	37	32	35	38	41	41
374	26	2	20	28	34	40
375	32	7	29	34	38	40
376	28	2	29	32	34	40
377	34	24	33	35	35	41
378	37	2	36	39	40	41
379	37	28	35	38	41	41
380	37	2	35	39	40	41
381	37	25	36	39	41	41
382	30	2	32	34	35	40
383	33	7	32	34	38	40
